SOURCE_ID,teff_gspphot,lum_flame,radius_flame,parallax_over_error,ruwe,spectral
138944670223285376,5874.9717,1.304063,1.1046408,31.469347,0.94281256,G (5300-6000)
138950373939843200,4655.5337,0.29218307,0.8307864,35.795948,1.0676736,K (3900-5300)
138950477019056896,5708.352,1.1032783,1.0742189,134.00856,1.0068666,G (5300-6000)
138956249455084672,5615.004,2.1988697,1.573872,51.36462,0.97637624,G (5300-6000)
138958684701210880,5217.226,0.8334123,1.1091924,37.85299,1.0730366,K (3900-5300)
138959547989965952,4808.3506,0.29417783,0.78006464,69.864586,1.0046209,K (3900-5300)
138970508746364928,4924.026,0.39710048,0.864045,20.173824,0.9791142,K (3900-5300)
138980060753846656,3842.7737,0.06889056,0.59201694,53.829433,1.0485513,M (3000-3900)
138982152402028928,3794.2932,0.054184668,0.5312195,26.927248,1.0744863,M (3000-3900)
138987722975351424,5156.592,1.8864189,1.6905434,22.48775,1.0063249,K (3900-5300)
138987757335088640,5204.2476,1.5113094,1.5227358,35.877274,1.1056306,K (3900-5300)
138988032212992512,5591.116,2.5099196,1.7018353,26.72842,1.0613728,G (5300-6000)
138989681480425856,5209.693,0.44211242,0.8347711,34.362225,1.0494251,K (3900-5300)
138992636417788288,4591.4727,0.40121344,1.0069038,26.279116,1.177104,K (3900-5300)
138993976447710464,5273.62,0.514341,0.85843885,29.474936,1.1187364,K (3900-5300)
138998305774628736,4308.007,0.13538639,0.65753955,43.97865,1.112058,K (3900-5300)
139000848395272704,4461.6606,0.31522417,0.929107,24.333218,1.2188885,K (3900-5300)
139002978699030272,6047.2583,2.806111,1.5190758,37.29385,1.126833,F (6000-7500)
139014626650456960,5662.1167,2.527303,1.6546136,52.845573,1.183318,G (5300-6000)
139025273872977920,5461.9517,0.7212602,0.9471528,164.84863,1.0687662,G (5300-6000)
139028439265224320,4969.2676,62.44693,10.662216,132.34157,0.892868,K (3900-5300)
139039125143727360,6429.1265,4.177363,1.6575152,27.753782,1.0258594,F (6000-7500)
139047543279610752,5672.0596,3.9111335,2.056317,29.765524,0.99585617,G (5300-6000)
139134232900069632,5796.7944,1.657168,1.2728325,25.302952,1.0242287,G (5300-6000)
139137565795206784,3414.8354,0.027047707,0.4693063,24.032824,1.0472167,M (3000-3900)
139139043263463680,5774.117,3.7247765,1.939662,40.661472,1.0168165,G (5300-6000)
139145189360887552,3600.9648,0.032151334,0.46475518,45.93363,0.9654685,M (3000-3900)
139163438677769984,5424.7983,1.3012238,1.2910343,21.057142,0.99539614,G (5300-6000)
139179828272837504,4609.786,0.24294047,0.7727326,35.748863,1.041488,K (3900-5300)
139180859065108224,6016.433,2.1114712,1.3363217,32.6724,1.0073159,F (6000-7500)
139182955009651328,6935.325,4.3541074,1.4408306,27.513645,0.97624564,F (6000-7500)
139212401305617280,5844.3604,1.1620184,1.1096283,45.99699,1.1765853,G (5300-6000)
139214016213311872,5925.345,1.4888405,1.1632007,25.039515,1.0945072,G (5300-6000)
139218723497435008,5915.6045,2.471218,1.5007658,70.51012,1.0825891,G (5300-6000)
139234494617309312,5709.2793,1.5751148,1.2875214,62.9214,0.91982263,G (5300-6000)
139237243396332160,4692.4443,0.3314295,0.86990213,100.913216,0.972565,K (3900-5300)
139245554156176384,4899.4937,7.8662095,3.9144838,90.937454,1.0662811,K (3900-5300)
139247482598413824,5902.7095,1.2142769,1.101384,132.14438,1.0345678,G (5300-6000)
139272354752623616,3416.5925,0.021460459,0.4171836,30.689394,0.8893647,M (3000-3900)
139279883831567104,5672.0225,1.2014292,1.136441,114.2121,0.9889169,G (5300-6000)
139282151574539520,5169.5337,0.38297018,0.7720393,23.827854,0.9616159,K (3900-5300)
139286167366410240,5730.211,1.4459827,1.2173173,47.38984,1.0395917,G (5300-6000)
139290363551696256,5411.128,0.6203774,0.89954424,29.567904,1.0770544,G (5300-6000)
139293799524176896,3589.2495,0.0122902375,0.29001668,31.39688,0.9984263,M (3000-3900)
139295341417611904,4073.9158,0.109666936,0.6634367,29.55783,1.0101031,K (3900-5300)
139302733057487744,5107.3564,0.39872772,0.8014752,32.718353,0.9685322,K (3900-5300)
139307440341777664,4357.089,0.14114133,0.6546361,24.284266,1.0110456,K (3900-5300)
