source_id,spec_class,teff_K,L_Lsun,scenario,A,eps,a_in_AU,a_out_AU,width_AU,d_a_in_AU,d_a_out_AU,d_width_AU,d_a_in_pct,d_a_out_pct,d_width_pct
1834739664421193216,F,6060.1265,2.417002,midA_weakGH,0.3,1,0.7236697,1.350532,0.62686228,-0.21058387,-0.39299731,-0.18241344,-22.540333,-22.540333,-22.540333
2203658972681070336,F,7285.321,3.0205524,midA_weakGH,0.3,1,0.80899357,1.5097657,0.70077212,-0.23541264,-0.43933344,-0.2039208,-22.540333,-22.540333,-22.540333
2914857693774360320,F,6012.3223,1.7284979,midA_weakGH,0.3,1,0.61197871,1.1420912,0.53011252,-0.17808241,-0.33234221,-0.1542598,-22.540333,-22.540333,-22.540333
3384305350167163136,F,6020.996,3.882871,midA_weakGH,0.3,1,0.91723024,1.7117599,0.79452966,-0.26690891,-0.49811263,-0.23120372,-22.540333,-22.540333,-22.540333
1651378336487110656,F,6041.332,2.0341418,midA_weakGH,0.3,1,0.66388445,1.2389591,0.57507468,-0.19318669,-0.36053023,-0.16734354,-22.540333,-22.540333,-22.540333
5856828687206530688,F,7191.684,7.827635,midA_weakGH,0.3,1,1.3023184,2.4304218,1.1281034,-0.37896742,-0.70723925,-0.32827183,-22.540333,-22.540333,-22.540333
5188059874952626560,F,6287.861,1.8813736,midA_weakGH,0.3,1,0.6384684,1.191527,0.5530586,-0.18579076,-0.34672774,-0.16093698,-22.540333,-22.540333,-22.540333
5531033564965725056,F,6618.612,3.209296,midA_weakGH,0.3,1,0.83388617,1.5562209,0.72233477,-0.24265625,-0.45285165,-0.21019541,-22.540333,-22.540333,-22.540333
6059192015576543872,F,6315.589,2.4586344,midA_weakGH,0.3,1,0.72987563,1.3621136,0.63223802,-0.21238976,-0.39636751,-0.18397775,-22.540333,-22.540333,-22.540333
227790501149255168,F,6688.7954,3.5177364,midA_weakGH,0.3,1,0.87303877,1.6292886,0.75624981,-0.25404944,-0.47411393,-0.2200645,-22.540333,-22.540333,-22.540333
5919913785286853120,F,6076.857,1.7353127,midA_weakGH,0.3,1,0.61318392,1.1443404,0.5311565,-0.17843312,-0.33299671,-0.15456359,-22.540333,-22.540333,-22.540333
777360841166501248,F,6285.735,2.4853249,midA_weakGH,0.3,1,0.73382663,1.3694871,0.63566049,-0.21353948,-0.39851315,-0.18497367,-22.540333,-22.540333,-22.540333
6545853209364156416,F,6152.762,2.5119963,midA_weakGH,0.3,1,0.73775368,1.3768159,0.6390622,-0.21468222,-0.40064578,-0.18596355,-22.540333,-22.540333,-22.540333
2130822340287611264,F,6004.0366,3.414193,midA_weakGH,0.3,1,0.860094,1.6051307,0.7450367,-0.25028258,-0.46708412,-0.21680154,-22.540333,-22.540333,-22.540333
1556930803057200768,F,6018.967,2.3969464,midA_weakGH,0.3,1,0.72066104,1.3449171,0.6242561,-0.20970836,-0.39136342,-0.18165506,-22.540333,-22.540333,-22.540333
4803716862386807808,F,6006.338,0.63805425,midA_weakGH,0.3,1,0.37181824,0.69389726,0.32207902,-0.10819704,-0.20192025,-0.093723206,-22.540333,-22.540333,-22.540333
5959065809496608512,F,6697.2754,4.4007354,midA_weakGH,0.3,1,0.97648261,1.8223383,0.84585566,-0.28415102,-0.53029032,-0.2461393,-22.540333,-22.540333,-22.540333
6899746114986307072,F,6036.505,2.2282686,midA_weakGH,0.3,1,0.69484135,1.2967317,0.60189038,-0.20219498,-0.37734173,-0.17514676,-22.540333,-22.540333,-22.540333
4313144667108836992,F,6931.2754,6.6438904,midA_weakGH,0.3,1,1.1998118,2.2391212,1.0393094,-0.34913856,-0.65157183,-0.30243327,-22.540333,-22.540333,-22.540333
5605791147249935872,F,6365.035,4.3672104,midA_weakGH,0.3,1,0.97275605,1.8153837,0.84262762,-0.28306661,-0.52826657,-0.24519996,-22.540333,-22.540333,-22.540333
3098872062879288448,F,6004.874,1.7959205,midA_weakGH,0.3,1,0.6238001,1.1641526,0.54035252,-0.18152237,-0.33876195,-0.15723958,-22.540333,-22.540333,-22.540333
2034750278471843200,F,6010.395,1.266595,midA_weakGH,0.3,1,0.52386667,0.97765416,0.45378749,-0.15244229,-0.28449193,-0.13204964,-22.540333,-22.540333,-22.540333
895183716925895168,F,7084.4873,6.8989205,midA_weakGH,0.3,1,1.2226227,2.2816916,1.0590689,-0.35577642,-0.66395958,-0.30818316,-22.540333,-22.540333,-22.540333
3060324009843924352,F,6387.417,2.289632,midA_weakGH,0.3,1,0.70434385,1.3144656,0.6101217,-0.20496015,-0.38250218,-0.17754203,-22.540333,-22.540333,-22.540333
2042381537663082496,F,6341.162,3.4555323,midA_weakGH,0.3,1,0.86528537,1.614819,0.74953361,-0.25179324,-0.46990336,-0.21811012,-22.540333,-22.540333,-22.540333
5306112209370823680,F,6018.1704,3.0219252,midA_weakGH,0.3,1,0.80917739,1.5101087,0.70093135,-0.23546613,-0.43943326,-0.20396713,-22.540333,-22.540333,-22.540333
5728269045990689280,F,7232.27,5.881265,midA_weakGH,0.3,1,1.1288527,2.1066954,0.97784272,-0.32848986,-0.61303666,-0.2845468,-22.540333,-22.540333,-22.540333
1710955545836694272,F,6131.2163,2.5244417,midA_weakGH,0.3,1,0.73957898,1.3802223,0.64064332,-0.21521338,-0.40163703,-0.18642365,-22.540333,-22.540333,-22.540333
4648507292753097600,F,6116.001,2.6828303,midA_weakGH,0.3,1,0.76242738,1.4228626,0.66043523,-0.22186214,-0.41404512,-0.19218299,-22.540333,-22.540333,-22.540333
4148990536018708992,F,6041.591,2.5484765,midA_weakGH,0.3,1,0.74309134,1.3867772,0.64368583,-0.21623546,-0.40354446,-0.187309,-22.540333,-22.540333,-22.540333
3127334639353317248,F,6657.484,4.4560785,midA_weakGH,0.3,1,0.98260349,1.8337612,0.85115773,-0.28593216,-0.53361433,-0.24768217,-22.540333,-22.540333,-22.540333
5599338285304893824,F,6219.7466,2.7451663,midA_weakGH,0.3,1,0.77123408,1.4392979,0.66806383,-0.22442484,-0.4188277,-0.19440287,-22.540333,-22.540333,-22.540333
2223236597542761856,F,6313.01,3.5799804,midA_weakGH,0.3,1,0.88072882,1.64364,0.76291114,-0.2562872,-0.4782901,-0.22200291,-22.540333,-22.540333,-22.540333
3370905773760399360,F,6713.959,3.8586156,midA_weakGH,0.3,1,0.91436089,1.706405,0.79204415,-0.26607394,-0.49655439,-0.23048045,-22.540333,-22.540333,-22.540333
2550945935119094016,F,6360.3306,2.4140236,midA_weakGH,0.3,1,0.72322368,1.3496996,0.62647593,-0.21045408,-0.39275509,-0.18230102,-22.540333,-22.540333,-22.540333
1737950239926195584,F,6219.289,1.9044441,midA_weakGH,0.3,1,0.64237111,1.1988103,0.55643924,-0.18692643,-0.34884716,-0.16192073,-22.540333,-22.540333,-22.540333
1866618354793459328,F,6237.843,4.6975436,midA_weakGH,0.3,1,1.0088748,1.8827895,0.87391469,-0.29357698,-0.5478813,-0.25430432,-22.540333,-22.540333,-22.540333
3085715306742291456,F,6013.1406,1.5950068,midA_weakGH,0.3,1,0.58787251,1.0971036,0.50923108,-0.17106764,-0.31925105,-0.14818342,-22.540333,-22.540333,-22.540333
1862845552443345664,F,6606.5054,3.8333843,midA_weakGH,0.3,1,0.91136651,1.7008168,0.78945033,-0.26520259,-0.49492826,-0.22972566,-22.540333,-22.540333,-22.540333
5946311204053174528,F,6290.8784,4.36149,midA_weakGH,0.3,1,0.97211876,1.8141943,0.84207558,-0.28288116,-0.52792048,-0.24503932,-22.540333,-22.540333,-22.540333
5343593701763494912,F,6441.799,3.8878803,midA_weakGH,0.3,1,0.91782171,1.7128637,0.795042,-0.26708102,-0.49843383,-0.23135281,-22.540333,-22.540333,-22.540333
2970710170045095296,F,6050.8315,1.2787951,midA_weakGH,0.3,1,0.52638362,0.98235136,0.45596774,-0.15317471,-0.28585879,-0.13268408,-22.540333,-22.540333,-22.540333
